work_location,position_type,people_number,position_link,publish_times,position_name
广州,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39331&keywords=&tid=0&lid=0,2018-04-18,WXG01-211 微信基础产品经理（广州）
深圳,技术类,2,https://hr.tencent.com/position_detail.php?id=39337&keywords=&tid=0&lid=0,2018-04-18,SNG04-QQ看点后台开发（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39340&keywords=&tid=0&lid=0,2018-04-18,19881-王者荣耀平台渠道运营（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39342&keywords=&tid=0&lid=0,2018-04-18,SNG04-看点问答产品运营（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39345&keywords=&tid=0&lid=0,2018-04-18,SNG16-全民K歌硬件产品策划（深圳）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39333&keywords=&tid=0&lid=0,2018-04-18,TEG02-网络工程管理工程师（深圳）
深圳,技术类,2,https://hr.tencent.com/position_detail.php?id=39334&keywords=&tid=0&lid=0,2018-04-18,TEG02-网络管控系统后台开发工程师（深圳）
深圳,技术类,2,https://hr.tencent.com/position_detail.php?id=39336&keywords=&tid=0&lid=0,2018-04-18,SNG04-QQ看点 Android 客户端开发工程师（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39325&keywords=&tid=0&lid=0,2018-04-18,23516-二次元手游社区运营与用户管理（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39328&keywords=&tid=0&lid=0,2018-04-18,18402-斗破苍穹移动游戏市场策划（深圳）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39330&keywords=&tid=0&lid=0,2018-04-18,18427-高级测试工程师
深圳,技术类,2,https://hr.tencent.com/position_detail.php?id=39335&keywords=&tid=0&lid=0,2018-04-18,SNG04-QQ看点iOS 研发工程师（深圳）
深圳,产品/项目类,3,https://hr.tencent.com/position_detail.php?id=39338&keywords=&tid=0&lid=0,2018-04-18,HY3-腾讯互娱直播业务高级管理经理（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39327&keywords=&tid=0&lid=0,2018-04-18,18402-MMO手游数据分析（深圳）
深圳,产品/项目类,2,https://hr.tencent.com/position_detail.php?id=39329&keywords=&tid=0&lid=0,2018-04-18,23516-移动游戏评估分析师（深圳）
美国,市场类,1,https://hr.tencent.com/position_detail.php?id=39332&keywords=&tid=0&lid=0,2018-04-18,MIG18-US Marketing & Business Development Executive（美国）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39317&keywords=&tid=0&lid=0,2018-04-18,SNG16-全民K歌IOS开发工程师（深圳）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39321&keywords=&tid=0&lid=0,2018-04-18,18302-Unity动作游戏资深工程师（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39323&keywords=&tid=0&lid=0,2018-04-18,23516-沙盒类手游平台运营（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39326&keywords=&tid=0&lid=0,2018-04-18,18402-刺激战场 商业化和活动策划（深圳）
深圳,内容编辑类,2,https://hr.tencent.com/position_detail.php?id=39313&keywords=&tid=0&lid=0,2018-04-18,SNG03-直播内容产品策划经理（深圳）
广州,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39319&keywords=&tid=0&lid=0,2018-04-18,MIG08-产品经理（广州）
上海,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39322&keywords=&tid=0&lid=0,2018-04-18,19332-数据运营高级经理（上海）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39324&keywords=&tid=0&lid=0,2018-04-18,23516-沙盒类手游版本管理（深圳）
深圳,技术类,3,https://hr.tencent.com/position_detail.php?id=39311&keywords=&tid=0&lid=0,2018-04-18,26834-嵌入式开发工程师（深圳）
深圳,内容编辑类,2,https://hr.tencent.com/position_detail.php?id=39314&keywords=&tid=0&lid=0,2018-04-18,SNG03-直播内容运营经理（深圳）
